iter	Logloss
0	0.6019045323
1	0.5294763428
2	0.4687650305
3	0.4299927502
4	0.4056148596
5	0.3824741666
6	0.3638824437
7	0.3489290373
8	0.3327943605
9	0.3246941178
10	0.3097989278
11	0.3028689323
12	0.2900820618
13	0.2825063994
14	0.2754300566
15	0.2694051515
16	0.2630705602
17	0.2590273884
18	0.256012716
19	0.2523268005
20	0.2483741059
21	0.2456924814
22	0.2420439078
23	0.2409377833
24	0.238209181
25	0.2363274395
26	0.2338890442
27	0.2306766004
28	0.2278291169
29	0.2247156737
30	0.2224530906
31	0.2209740768
32	0.2192287205
33	0.2174494707
34	0.2160564833
35	0.2149990966
36	0.2137730923
37	0.2121758338
38	0.2103012523
39	0.2094331567
40	0.2077005932
41	0.2057458069
42	0.2050181562
43	0.2042529384
44	0.2029705546
45	0.2016875336
46	0.1999259165
47	0.1985948736
48	0.1977953072
49	0.1968627136
50	0.1958524954
51	0.1947931776
52	0.1935815224
53	0.193091918
54	0.1922996036
55	0.1914596366
56	0.1906802041
57	0.1896661279
58	0.1890991223
59	0.1886716566
60	0.1881182155
61	0.1873075231
62	0.1863765471
63	0.1858300829
64	0.1849741838
65	0.1843996132
66	0.1838322148
67	0.1832400581
68	0.1819825236
69	0.1814295724
70	0.1807660998
71	0.1804308738
72	0.1797658769
73	0.1791119136
74	0.1784075245
75	0.1774827206
76	0.1770675091
77	0.176485458
78	0.1759954927
79	0.1753049607
80	0.1748320895
81	0.1743252457
82	0.1736350466
83	0.172731377
84	0.1720783617
85	0.1715271216
86	0.1708824101
87	0.1701612235
88	0.1694690415
89	0.1688155705
90	0.1682216863
91	0.1674017287
92	0.1668503845
93	0.1662203607
94	0.165705151
95	0.1650300274
96	0.1641054126
97	0.1633993015
98	0.1627775562
99	0.1622268538
