Model,ROC AUC,F1 Score,Accuracy,Precision,Recall,Best Params
logistic_regression,0.9794856072219383,0.9337231968810916,0.915,0.9373776908023483,0.9300970873786408,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}"
xgboost,0.976412876852325,0.9269717624148004,0.90625,0.9296875,0.9242718446601942,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
gradient_boosting,0.9761982626469086,0.9305962854349951,0.91125,0.937007874015748,0.9242718446601942,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
catboost,0.9761130982796797,0.936046511627907,0.9175,0.9342359767891683,0.9378640776699029,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.1, 'verbose': 0}"
lightgbm,0.9760585930846535,0.9286412512218963,0.90875,0.9350393700787402,0.9223300970873787,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
svm,0.9752376085845682,0.9300492610837439,0.91125,0.944,0.916504854368932,"{'C': 1.0, 'kernel': 'rbf'}"
random_forest,0.9713507068642481,0.9303675048355899,0.91,0.9267822736030829,0.9339805825242719,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
extra_trees,0.9623846022824051,0.916988416988417,0.8925,0.9117082533589251,0.9223300970873787,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
decision_tree,0.9464247998637371,0.9051808406647116,0.87875,0.9114173228346457,0.8990291262135922,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}"
