Model,ROC AUC,F1 Score,Accuracy,Precision,Recall,Best Params
catboost,0.9695927796282368,0.9327548806941431,0.9114285714285715,0.9188034188034188,0.947136563876652,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.1, 'verbose': 0}"
svm,0.966508183804305,0.9355191256830601,0.9157142857142857,0.928416485900217,0.9427312775330396,"{'C': 1.0, 'kernel': 'rbf'}"
xgboost,0.9662709072024641,0.9230769230769231,0.9,0.9210526315789473,0.9251101321585903,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
gradient_boosting,0.9659754306794168,0.9262472885032538,0.9028571428571428,0.9123931623931624,0.9405286343612335,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
logistic_regression,0.965805307832814,0.925601750547046,0.9028571428571428,0.9195652173913044,0.9317180616740088,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
lightgbm,0.9656262311521793,0.9234135667396062,0.9,0.9173913043478261,0.9295154185022027,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
random_forest,0.962662512087676,0.9311827956989247,0.9085714285714286,0.9096638655462185,0.9537444933920705,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
extra_trees,0.9581855950718098,0.9100418410041841,0.8771428571428571,0.8665338645418327,0.9581497797356828,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
decision_tree,0.9303346943161062,0.9100642398286938,0.88,0.8854166666666666,0.9361233480176211,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}"
