Model,ROC AUC,F1 Score,Accuracy,Precision,Recall,Best Params
logistic_regression,0.9016955356994293,0.8529886914378029,0.818,0.825,0.882943143812709,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
catboost,0.8990124627697632,0.8408163265306122,0.805,0.8213716108452951,0.8612040133779264,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.1, 'verbose': 0}"
lightgbm,0.8975149336927403,0.8462783171521036,0.81,0.8197492163009404,0.8745819397993311,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
xgboost,0.8968368858050884,0.8437246963562753,0.807,0.8178963893249608,0.8712374581939799,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
gradient_boosting,0.8954246326893958,0.8421052631578947,0.805,0.8163265306122449,0.8695652173913043,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
svm,0.8939666217407943,0.848582995951417,0.813,0.8226059654631083,0.8762541806020067,"{'C': 1.0, 'kernel': 'rbf'}"
random_forest,0.8867951213830512,0.8440514469453376,0.806,0.8126934984520123,0.8779264214046822,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
extra_trees,0.8773190901678897,0.8444444444444444,0.797,0.7793493635077794,0.9214046822742475,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
decision_tree,0.8488202798715454,0.8289156626506025,0.787,0.7975270479134466,0.862876254180602,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}"
